circuit,n,B,step,uvc_setup_ms,uvc_prove_ms,uvc_verify_ms,uvc_crs_g1,uvc_crs_g2,uvc_proof_bytes,uvc_peak_mem_mb,g16_setup_ms,g16_prove_ms,g16_verify_ms,g16_crs_g1,g16_crs_g2,g16_proof_bytes,nova_setup_ms,nova_fold_ms,nova_total_fold_ms,nova_compress_ms,nova_verify_ms,nova_proof_bytes
hadamard,128,16,8,798.51,85.76,4.37,18434,8067,128,18.0,276.38,76.55,4.27,7810,2178,128,1920.40,107.61,791.06,1228.78,43.47,15960
hadamard,128,16,16,798.51,85.78,4.38,18434,8067,128,18.0,473.11,133.86,4.27,14978,4226,128,1920.40,105.47,1647.83,1228.78,43.47,15960
hadamard,128,64,1,2785.34,256.75,4.38,73730,32643,128,65.6,70.99,23.21,4.46,1410,386,128,1920.40,54.61,54.61,1228.78,43.47,15960
hadamard,128,64,2,2785.34,257.21,4.38,73730,32643,128,65.6,107.39,25.86,4.28,2179,642,128,1920.40,92.19,146.80,1228.78,43.47,15960
hadamard,128,64,4,2785.34,258.66,4.37,73730,32643,128,65.6,167.81,45.70,4.26,4226,1154,128,1920.40,104.20,356.26,1228.78,43.47,15960
hadamard,128,64,8,2785.34,260.24,4.38,73730,32643,128,65.7,276.38,76.55,4.27,7810,2178,128,1920.40,107.61,791.06,1228.78,43.47,15960
hadamard,128,64,16,2785.34,263.89,4.38,73730,32643,128,65.7,473.11,133.86,4.27,14978,4226,128,1920.40,105.47,1647.83,1228.78,43.47,15960
hadamard,128,64,32,2785.34,270.31,4.38,73730,32643,128,65.7,839.10,301.87,4.26,29314,8322,128,1920.40,105.62,3346.70,1228.78,43.47,15960
hadamard,128,64,64,2785.34,266.21,4.37,73730,32643,128,66.0,1546.92,595.88,4.27,57986,16514,128,1920.40,105.46,6806.97,1228.78,43.47,15960
hadamard,512,16,1,2777.01,294.82,5.31,73730,32259,128,40.8,202.25,76.98,5.21,5634,1538,128,2240.85,126.78,126.78,1767.92,63.29,29000
hadamard,512,16,2,2777.01,296.66,5.29,73730,32259,128,40.8,346.49,86.19,5.19,8707,2562,128,2240.85,233.06,359.84,1767.92,63.29,29000
hadamard,512,16,4,2777.01,299.49,5.37,73730,32259,128,40.8,524.80,146.67,5.20,16898,4610,128,2240.85,243.50,846.75,1767.92,63.29,29000
hadamard,512,16,8,2777.01,309.33,5.44,73730,32259,128,43.4,889.11,253.83,5.23,31234,8706,128,2240.85,248.82,1837.01,1767.92,63.29,29000
hadamard,512,16,16,2777.01,309.78,5.38,73730,32259,128,43.4,1629.11,482.15,5.16,59906,16898,128,2240.85,247.12,3836.74,1767.92,63.29,29000
hadamard,512,64,1,9511.85,876.71,5.29,294914,130563,128,288.1,202.25,76.98,5.21,5634,1538,128,2240.85,126.78,126.78,1767.92,63.29,29000
hadamard,512,64,2,9511.85,878.15,5.28,294914,130563,128,288.1,346.49,86.19,5.19,8707,2562,128,2240.85,233.06,359.84,1767.92,63.29,29000
hadamard,512,64,4,9511.85,883.78,5.29,294914,130563,128,288.1,524.80,146.67,5.20,16898,4610,128,2240.85,243.50,846.75,1767.92,63.29,29000
hadamard,512,64,8,9511.85,888.97,5.28,294914,130563,128,288.1,889.11,253.83,5.23,31234,8706,128,2240.85,248.82,1837.01,1767.92,63.29,29000
hadamard,512,64,16,9511.85,899.75,5.29,294914,130563,128,288.1,1629.11,482.15,5.16,59906,16898,128,2240.85,247.12,3836.74,1767.92,63.29,29000
hadamard,512,64,32,9511.85,918.60,5.29,294914,130563,128,288.1,2830.24,995.31,5.17,117250,33282,128,2240.85,247.53,7792.56,1767.92,63.29,29000
hadamard,512,64,64,9511.85,903.30,5.29,294914,130563,128,288.1,5306.31,2061.39,5.18,231938,66050,128,2240.85,247.98,15713.13,1767.92,63.29,29000
mimc,270,16,1,788.68,192.03,4.09,21156,8405,128,19.2,56.46,72.19,3.98,1104,274,128,1356.34,24.48,24.48,1073.85,37.34,11520
mimc,270,16,2,788.68,193.02,4.10,21156,8405,128,19.2,90.17,126.86,4.07,2173,545,128,1356.34,42.13,66.61,1073.85,37.34,11520
mimc,270,16,4,788.68,191.10,4.08,21156,8405,128,19.3,163.82,208.44,4.17,4343,1087,128,1356.34,56.65,177.09,1073.85,37.34,11520
mimc,270,16,8,788.68,191.72,4.07,21156,8405,128,19.3,298.21,339.76,3.99,8683,2171,128,1356.34,54.72,396.07,1073.85,37.34,11520
mimc,270,16,16,788.68,191.38,4.15,21156,8405,128,19.3,476.09,619.47,4.00,17363,4339,128,1356.34,54.52,836.64,1073.85,37.34,11520
